route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,19
,EC,11,2,77
,EC,12,2,66
,EC,14,2,61
,EC,5,2,22
,EC 62,11,2,45
,EC 62,8,2,27
,EC 85,6,2,39
,EC 85,8,2,31
,EC 89,8,2,6
,EC 90,11,2,40
,EC 90,8,2,53
,EC 95,4,2,7
,EC 95,8,2,94
,EC 96,4,2,85
,EC 96,8,2,28
,EC 97,8,2,62
,ECE,3,2,78
,ECE 20,8,2,86
,ECE 27,8,2,8
,ECE 75,8,2,79
,ECE 85,8,2,1
,ECE 88,8,2,20
,EN,1,2,95
,EN,11,2,32
,EN,12,2,14
,EN,14,2,87
,EN,4,2,57
,EN,9,2,54
,IC,1,2,89
,IC,10,2,58
,IC,11,2,21
,IC,3,2,96
,IC,4,2,2
,IC,5,2,67
,IC,7,2,55
,IC 1,5,2,48
,IC 17,8,2,41
,IC 35,8,2,23
,IC 51,8,2,63
,IC 55,8,2,3
,IC 56,8,2,15
,IC 57,8,2,24
,IC 60,8,2,80
,IC 61,5,2,35
,IC 61,8,2,34
,IC 87,8,2,36
,ICE,11,2,16
,ICE,2,2,4
,ICE,5,2,68
,ICE 1,8,2,64
,ICE 10,8,2,49
,ICE 11,8,2,74
,ICE 12,8,2,37
,ICE 13,8,2,81
,ICE 14,8,2,50
,ICE 15,8,2,33
,ICE 17,8,2,71
,ICE 18,8,2,46
,ICE 20,8,2,60
,ICE 22,8,2,72
,ICE 23,8,2,5
,ICE 24,8,2,9
,ICE 25,8,2,10
,ICE 26,8,2,29
,ICE 27,8,2,90
,ICE 28,8,2,51
,ICE 29,8,2,91
,ICE 3,8,2,82
,ICE 33,8,2,30
,ICE 4,8,2,17
,ICE 41,8,2,47
,ICE 42,8,2,25
,ICE 43,8,2,52
,ICE 45,8,2,42
,ICE 47,8,2,11
,ICE 49,8,2,75
,ICE 50,8,2,43
,ICE 55,8,2,12
,ICE 6,8,2,83
,ICE 60,8,2,73
,ICE 62,8,2,92
,ICE 77,8,2,84
,ICE 78,8,2,93
,ICE 79,8,2,13
,ICE 82,13,2,69
,ICE 82,8,2,44
,ICE 83,13,2,59
,ICE 83,8,2,26
,ICE 90,8,2,65
,ICE 91,8,2,70
,RJ,1,2,88
,RJ,11,2,38
,RJ,12,2,56
,RJ,3,2,18
,RJ,9,2,76
