trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1015792,09:16:00,09:16:00,534950,0,Basel Bad Bf,,
1015792,10:01:00,10:03:00,409408,1,Basel Bad Bf,,
1015792,10:18:00,10:20:00,551322,2,Basel Bad Bf,,
1015792,10:50:00,10:50:00,602861,3,Basel Bad Bf,,
1016868,08:02:00,08:02:00,619627,0,Basel Bad Bf,,
1016868,08:43:00,08:46:00,623256,1,Basel Bad Bf,,
1016868,09:14:00,09:16:00,534950,2,Basel Bad Bf,,
1016868,10:01:00,10:03:00,409408,3,Basel Bad Bf,,
1016868,10:18:00,10:20:00,551322,4,Basel Bad Bf,,
1016868,10:50:00,10:50:00,602861,5,Basel Bad Bf,,
1043978,15:55:00,15:55:00,602861,0,Frankfurt(Main)Hbf,,
1043978,16:22:00,16:24:00,551322,1,Frankfurt(Main)Hbf,,
1043978,16:40:00,16:42:00,409408,2,Frankfurt(Main)Hbf,,
1043978,17:29:00,17:31:00,534950,3,Frankfurt(Main)Hbf,,
1043978,17:58:00,18:00:00,623256,4,Frankfurt(Main)Hbf,,
1043978,18:44:00,18:44:00,619627,5,Frankfurt(Main)Hbf,,
1248822,08:02:00,08:02:00,619627,0,Basel Bad Bf,,
1248822,08:43:00,08:46:00,623256,1,Basel Bad Bf,,
1248822,09:14:00,09:16:00,534950,2,Basel Bad Bf,,
1248822,10:01:00,10:03:00,409408,3,Basel Bad Bf,,
1248822,10:18:00,10:20:00,551322,4,Basel Bad Bf,,
1248822,10:50:00,10:50:00,602861,5,Basel Bad Bf,,
1300115,08:02:00,08:02:00,619627,0,Basel Bad Bf,,
1300115,08:43:00,08:46:00,623256,1,Basel Bad Bf,,
1300115,09:09:00,09:11:00,534950,2,Basel Bad Bf,,
1300115,09:56:00,09:58:00,409408,3,Basel Bad Bf,,
1300115,10:13:00,10:15:00,551322,4,Basel Bad Bf,,
1300115,10:45:00,10:45:00,602861,5,Basel Bad Bf,,
1377937,08:02:00,08:02:00,619627,0,Basel Bad Bf,,
1377937,08:43:00,08:46:00,623256,1,Basel Bad Bf,,
1377937,09:09:00,09:11:00,534950,2,Basel Bad Bf,,
1377937,09:56:00,09:58:00,409408,3,Basel Bad Bf,,
1377937,10:13:00,10:15:00,551322,4,Basel Bad Bf,,
1377937,10:45:00,10:45:00,602861,5,Basel Bad Bf,,
1429937,15:55:00,15:55:00,602861,0,Frankfurt(Main)Hbf,,
1429937,16:22:00,16:24:00,551322,1,Frankfurt(Main)Hbf,,
1429937,16:40:00,16:42:00,409408,2,Frankfurt(Main)Hbf,,
1429937,17:29:00,17:31:00,534950,3,Frankfurt(Main)Hbf,,
1429937,18:40:00,18:40:00,619627,4,Frankfurt(Main)Hbf,,
1585139,15:55:00,15:55:00,602861,0,Frankfurt(Main)Hbf,,
1585139,16:22:00,16:24:00,551322,1,Frankfurt(Main)Hbf,,
1585139,16:40:00,16:42:00,409408,2,Frankfurt(Main)Hbf,,
1585139,17:29:00,17:31:00,534950,3,Frankfurt(Main)Hbf,,
1585139,17:58:00,18:00:00,623256,4,Frankfurt(Main)Hbf,,
1585139,18:44:00,18:44:00,619627,5,Frankfurt(Main)Hbf,,
1607477,09:11:00,09:11:00,534950,0,Basel Bad Bf,,
1607477,09:56:00,09:58:00,409408,1,Basel Bad Bf,,
1607477,10:13:00,10:15:00,551322,2,Basel Bad Bf,,
1607477,10:45:00,10:45:00,602861,3,Basel Bad Bf,,
1655221,15:55:00,15:55:00,602861,0,Frankfurt(Main)Hbf,,
1655221,16:22:00,16:24:00,551322,1,Frankfurt(Main)Hbf,,
1655221,16:40:00,16:42:00,409408,2,Frankfurt(Main)Hbf,,
