stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Aachen Hbf,206189,636945,50.7678,6.091499,,
Aachen Süd(Gr),,326501,50.731915,6.04541,1,
Aachen Süd(Gr),326501,73892,50.731915,6.04541,,
"Aachen, Hbf",,206189,50.7678,6.091499,1,
Aalen Hbf,417616,325307,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,417616,48.841602,10.096031,1,
Amersfoort Centraal,,116232,52.153465,5.373909,1,
Amersfoort Centraal,116232,35697,52.153465,5.373909,,
Amsterdam Centraal,,413798,52.37919,4.899431,1,
Amsterdam Centraal,413798,424119,52.37919,4.899431,,
Andernach,476483,50929,50.434544,7.404839,,
Andernach Bahnhof,,476483,50.434532,7.404822,1,
Angermünde,522594,267272,53.01522,13.996361,,
"Angermünde, Bahnhof",,522594,53.015823,13.995871,1,
Anklam,,663883,53.855984,13.701563,1,
Anklam,663883,682133,53.856102,13.701827,,
Ansbach,,436062,49.29803,10.578246,1,
Ansbach,436062,442451,49.29803,10.578239,,
Apeldoorn,,454236,52.20943,5.968491,1,
Apeldoorn,454236,255606,52.20943,5.968491,,
Arnhem Centraal,,500962,51.98478,5.901003,1,
Arnhem Centraal,500962,290852,51.98478,5.901003,,
Aschaffenburg Hbf,,202527,49.980556,9.1437,1,
Aschaffenburg Hbf,202527,615104,49.980556,9.143697,,
Augsburg Hbf,,676908,48.36544,10.885569,1,
Augsburg Hbf,676908,563692,48.36544,10.88557,,
Augustfehn,,591442,53.220894,7.759677,1,
Augustfehn,591442,181037,53.22089,7.759659,,
Bad Bentheim,295977,545937,52.30985,7.158539,,
Bad Bentheim Bahnhof,,295977,52.309265,7.156599,1,
Bad Bentheim(Gr),,548938,52.3091,7.04016,1,
Bad Bentheim(Gr),548938,657452,52.3091,7.04016,,
Bad Gastein,,430916,47.11178,13.131924,1,
Bad Gastein,430916,628223,47.11178,13.131924,,
Bad Hersfeld,,141818,50.869766,9.716581,1,
Bad Hersfeld,141818,170465,50.869766,9.716581,,
Bad Hofgastein,,566013,47.195343,13.100503,1,
Bad Hofgastein,566013,172798,47.195343,13.100503,,
Bad Kleinen,516023,400036,53.766975,11.466925,,
Bad Kleinen Bahnhof,,516023,53.76746,11.466429,1,
Bad Oeynhausen,82937,541715,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,82937,52.205353,8.79916,1,
Bad Schandau,428315,413180,50.91929,14.137538,,
Bad Schandau Nationalparkbahnhof,,428315,50.91927,14.138099,1,
Bad Zwischenahn,,272331,53.182568,8.002996,1,
